,0
0,0.008394082076847553
1,0.9726738333702087
2,-0.9660142660140991
3,-0.5269185304641724
4,0.22151845693588257
5,-0.06738971918821335
6,0.36344945430755615
7,0.7301638126373291
8,-1.1319618225097656
9,0.019217297434806824
10,0.64316725730896
11,1.0371851921081543
12,-0.6985160708427429
13,-1.2869834899902344
14,1.7348040342330933
15,-0.9035645723342896
16,-1.0529977083206177
17,-0.701332688331604
18,-0.43761876225471497
19,0.8589183688163757
20,0.27598750591278076
21,0.05708514153957367
22,0.9188026189804077
23,1.3096586465835571
24,2.509965419769287
25,-0.5023406147956848
26,0.0976107120513916
27,-0.17974132299423218
28,-0.40038734674453735
29,-0.0323413722217083
30,-0.46496328711509705
31,-2.2116446495056152
32,0.15867452323436737
33,-0.4555830657482147
34,0.955571711063385
35,-1.5826778411865234
36,-1.0851718187332153
37,0.25275203585624695
38,-1.504386305809021
39,-0.24071376025676727
40,0.6129204034805298
41,0.16323818266391754
42,-0.43764105439186096
43,-1.6788743734359741
44,0.2927488684654236
45,-1.4292832612991333
46,0.2150164395570755
47,0.42032426595687866
48,-0.3486393690109253
49,0.8901717066764832
50,0.7820523381233215
51,0.9050966501235962
52,-0.20562434196472168
53,-0.17899955809116364
54,-0.6290687918663025
55,-0.2526870369911194
56,-0.6653163433074951
57,-0.9569946527481079
58,0.4375951290130615
59,2.4551210403442383
60,0.1652478277683258
61,-0.42778560519218445
62,-1.4091179370880127
63,-1.1606239080429077
64,-0.1786508560180664
65,0.8005199432373047
66,-0.04876429960131645
67,0.9870229363441467
68,-1.9853460788726807
69,-0.9841952323913574
70,-0.7132332921028137
71,0.24669446051120758
72,0.6557198762893677
73,-0.06796645373106003
74,-0.7523670792579651
75,0.03426925837993622
76,0.16387327015399933
77,-0.4352579712867737
78,1.8042612075805664
79,0.3360659182071686
80,-0.742520809173584
81,-0.9930713176727295
82,0.3920843005180359
83,0.3482382595539093
84,1.2103358507156372
85,0.6462910771369934
86,0.4496991038322449
87,-0.3545647859573364
88,0.8230423331260681
89,-1.1049542427062988
90,1.887829065322876
91,0.1319684088230133
92,-0.3414795696735382
93,0.8380904197692871
94,-0.17492711544036865
95,0.32926106452941895
96,-0.13726508617401123
97,-0.675209641456604
98,0.5297524929046631
99,0.750131368637085
100,0.7032591104507446
101,0.08859873563051224
102,-1.0996161699295044
103,-0.5892418622970581
104,-0.08138331770896912
105,-1.8410588502883911
106,-0.22305038571357727
107,-0.40002381801605225
108,0.677914023399353
109,-0.10952899605035782
110,-0.4668318033218384
111,1.1666526794433594
112,0.5695209503173828
113,-0.2653997540473938
114,-0.26245707273483276
115,-0.15259185433387756
116,0.3410726487636566
117,-0.3261747360229492
118,-0.7310847043991089
119,-0.7403345704078674
120,0.38709285855293274
121,0.9510425925254822
122,0.9841660261154175
123,-0.24180981516838074
124,-2.074826955795288
125,-1.0024259090423584
126,-1.6546303033828735
127,1.509757161140442
